UID,FirstName,LastName,GamerTag,City,Age,GamerScore,State
15,Eric,Piatkowski,eripia,Chicago,44,67,Illinois
42,Monty,Williams,monwil,Philadelphia,39,25,Pennsylvania
43,Chris,Whitney,chrwhi,Washington,19,60,District of Columbia
56,Gary,Payton,garpay,Miami,24,40,Florida
57,Doug,Christie,douchr,Dallas,23,67,Texas
63,Michael,Smith,micsmi,Indiana,43,0,Pennsylvania
72,Kenny,Anderson,kenand,Indiana,21,38,Pennsylvania
77,Doug,Overton,douove,Los Angeles,16,25,California
87,Dikembe,Mutombo,dikmut,Houston,33,25,Texas
89,Nick,Van,nicvan,San Antonio,30,100,Texas
93,Hubert,Davis,hubdav,Detroit,39,0,Michigan
103,Todd,Day,todday,Detroit,31,25,Michigan
109,Robert,Horry,robhor,San Antonio,22,29,Texas
120,Steven,Smith,stesmi,Charlotte,20,57,North Carolina
124,Vlade,Divac,vladiv,Sacramento,14,25,California
133,David,Wesley,davwes,New Orleans,38,38,Louisiana
145,Tracy,Murray,tramur,Portland,41,0,Oregon
147,Jalen,Rose,jalros,Toronto,15,50,Ohio
178,Olden,Polynice,oldpol,Los Angeles,14,0,California
185,Chris,Webber,chrweb,Philadelphia,37,37,Pennsylvania
208,Sam,Cassell,samcas,Los Angeles,31,46,California
213,Antonio,Davis,antdav,Toronto,36,0,Ohio
221,Clar.,Weatherspoon,clawea,Houston,20,62,Texas
224,Eddie,Jones,eddjon,Miami,20,40,Florida
238,Tyrone,Hill,tyrhil,Miami,22,0,Florida
239,Darrick,Martin,darmar,Toronto,32,71,Ohio
243,Aaron,McKie,aarmck,Los Angeles,30,40,California
244,Dee,Brown,deebro,Dallas,14,100,Texas
248,George,Lynch,geolyn,New Orleans,24,60,Louisiana
252,Karl,Malone,karmal,Los Angeles,21,70,California
255,Grant,Hill,grahil,Orlando,30,36,Florida
258,Brian,Grant,brigra,Miami,22,80,Florida
270,Horace,Grant,horgra,Los Angeles,32,50,California
275,Allan,Houston,allhou,New York,26,30,New York
